"","q7_q10_corr"
"1",0.148968943422501
"2",0.363011356330841
"3",0.186928219034696
"4",0.327025005693625
"5",0.311203833663656
"6",0.464169202105751
"7",0.318100707995975
"8",0.0666335468768973
"9",0.217105158071491
"10",0.236158333035175
"11",0.291255092739238
"12",0.271738321696032
"13",0.326523563864136
"14",0.183730033257345
"15",0.29557800465069
"16",0.303118773692518
"17",0.281193469771011
"18",0.388298927762545
"19",0.264316621230344
"20",0.152078063456049
"21",0.144119397276292
"22",0.280484927181011
"23",0.343138193786282
"24",0.100351395123337
"25",0.322950571901546
"26",0.232606489663954
"27",0.287686877608207
"28",0.444443187306683
"29",-0.0211555848499535
"30",0.315516994723663
"31",0.332925658962209
"32",0.352083333333333
"33",0.32275574745381
"34",0.311833384401785
"35",0.076281298161288
"36",0.323451968380209
"37",0.252002149084287
"38",0.324622468161776
"39",0.247623902970875
"40",0.369324143322639
"41",0.379114147294605
"42",0.221951219512195
"43",0.288452013972296
"44",0.30663095707915
"45",0.278611120128345
"46",0.290741347327448
"47",0.303599069533308
"48",0.281266458237709
"49",0.320478281082272
"50",0.355596964727734
"51",0.462178165651863
"52",0.270160008261822
"53",0.109405286373638
"54",0.198527966544848
"55",0.488168287010261
"56",0.356217411828441
"57",0.209807148154732
"58",0.18730056721887
"59",0.242381774388526
"60",0.203879201465504
"61",0.350752762563194
"62",0.253604594598133
"63",0.376588480250896
"64",0.200858337543733
"65",0.326905031013739
"66",0.254262141307128
"67",0.176762038678793
"68",0.163108038210352
"69",0.244938377422372
"70",0.118233599551839
"71",0.233223982260729
"72",0.356592983287647
"73",0.113605588332755
"74",0.226939012921583
"75",0.228385287928024
"76",0.305041919592114
"77",0.176753705935034
"78",0.274147575545868
"79",0.325840598770033
"80",0.23425891626721
"81",0.119557366610622
"82",0.503836674374141
"83",0.228015212711329
"84",0.137014145216178
"85",0.160601216021206
"86",0.333230738090812
"87",0.260664355892302
"88",0.285985037434621
"89",0.333222377641811
"90",0.154724178836498
"91",0.438794021064799
"92",0.215549678964078
"93",0.412647031462933
"94",0.163849548442792
"95",0.302960264331594
"96",0.283429410564064
"97",0.271892608839861
"98",0.200623848639153
"99",0.296585590960429
"100",0.247049525846961
"101",0.196559954324386
"102",0.216920075944061
"103",0.387758151010058
"104",0.223106738579961
"105",0.175615300802079
"106",0.0469128844478957
"107",0.429117841069562
"108",0.118676399701079
"109",0.288655214381119
"110",0.299637023460545
"111",0.459142901992443
"112",0.233672698047133
"113",0.246764744705531
"114",0.292803286227397
"115",0.36836147362198
"116",0.213168084885355
"117",0.239894539658894
"118",0.222046997484671
"119",0.335440692619633
"120",0.174176703131152
"121",0.179201110190157
"122",0.193468712280155
"123",0.205487313604019
"124",0.337867678065339
"125",0.286296533394754
"126",0.154507263363478
"127",0.251257523148042
"128",0.325847311770767
"129",0.369510933728419
"130",0.167242311803651
"131",0.160585011092399
"132",0.377110122235387
"133",0.281890776735
"134",0.262801943561087
"135",0.338825537339262
"136",0.26173075534438
"137",0.127603396237387
"138",0.311984969777029
"139",0.203412091793746
"140",0.334810478791254
"141",0.252908396282852
"142",0.335765692428648
"143",0.264447532772003
"144",0.140348151637003
"145",0.260950080499982
"146",0.0791067962290997
"147",0.322630556619275
"148",0.244219727759806
"149",0.390615295902578
"150",0.204301911296052
"151",0.0152333336944198
"152",0.160868934916096
"153",0.259325120357054
"154",0.234779004890996
"155",0.216905997477812
"156",0.293972367896066
"157",0.191637799217737
"158",0.125862918264487
"159",0.203419542379053
"160",0.185830601512651
"161",0.308263359541907
"162",0.41667468218471
"163",0.166410683908871
"164",0.352821509192193
"165",0.425346274658755
"166",0.193877612557744
"167",0.274504467219515
"168",0.245012298679059
"169",0.309350033076326
"170",0.430938294263145
"171",0.277080031158841
"172",0.249368463149505
"173",0.282264046128701
"174",0.234869561003305
"175",0.289018569301758
"176",0.172102693767847
"177",0.266297831688898
"178",0.294104923840402
"179",0.383849507785412
"180",0.261088423632979
"181",0.174923371663434
"182",0.301742906418082
"183",0.243602546891172
"184",0.29420510290373
"185",0.198317861336333
"186",0.310055455929858
"187",0.127377386204273
"188",0.219990949129993
"189",0.450543566646653
"190",0.180905571141485
"191",0.243611623213904
"192",0.0636510394747439
"193",0.322860602684027
"194",0.231044654687883
"195",0.44527912299812
"196",0.354682997600171
"197",0.267687921999086
"198",0.463755628320769
"199",0.39843718312554
"200",0.307407407407407
"201",0.287130409252584
"202",0.290464128009135
"203",0.382073610107514
"204",0.389377338162085
"205",0.32054745164717
"206",0.209721506969537
"207",0.35317535131038
"208",0.410137288671478
"209",0.383944738273242
"210",0.19514232559123
"211",0.19823796240486
"212",0.291116950702217
"213",0.280336215694889
"214",0.129054674720604
"215",0.302479180291158
"216",0.244700063343114
"217",0.330699603896941
"218",0.217971096981393
"219",0.304329936217489
"220",0.188508504678645
"221",0.317267801674709
"222",0.345784615279534
"223",0.3100562199459
"224",0.331209616642725
"225",0.283952702702703
"226",0.260868241033289
"227",0.205966328870505
"228",0.206503548514215
"229",0.201557034833725
"230",0.391947650838813
"231",0.271812321718908
"232",0.221846592537594
"233",0.278390325803156
"234",0.447832526289568
"235",0.305221734073278
"236",0.294203819785359
"237",0.28560181210518
"238",0.273508253487777
"239",0.304514123394756
"240",0.164346850812233
"241",0.153846153846154
"242",0.426567437390208
"243",0.306190890984059
"244",0.325261101915388
"245",0.291663972530457
"246",0.291130724792736
"247",0.256061957360488
"248",0.242993990877736
"249",0.331395643176882
"250",0.290521523983588
"251",0.192894945356421
"252",0.116929026838225
"253",0.37650546201863
"254",0.329242346278624
"255",0.133950539656062
"256",0.465851771798104
"257",0.156559604792261
"258",0.200261263707496
"259",0.175390738225568
"260",0.216133167401154
"261",0.382996867859499
"262",0.223156431134169
"263",0.227353400660378
"264",0.41194680109137
"265",0.238574869668226
"266",0.384192798744733
"267",0.187216925238162
"268",0.272433977458076
"269",0.0740915826815332
"270",0.211337149110808
"271",0.228862045676286
"272",0.372818974399085
"273",0.244713610643345
"274",0.22150543882136
"275",0.0213899412120369
"276",0.328232674020066
"277",0.30770072438914
"278",0.1691327094623
"279",0.353115667214408
"280",0.0585393713629694
"281",0.310217354634512
"282",0.313224399619143
"283",0.0990079666538344
"284",0.26629436687965
"285",0.424152332519576
"286",0.2829861114529
"287",0.0328432021170545
"288",0.364396965884649
"289",0.290972265503858
"290",0.224118029505754
"291",0.15953967577706
"292",0.143012691838598
"293",0.314849156458689
"294",0.111824965696134
"295",0.309988084947334
"296",0.352696917166533
"297",0.0985243992977916
"298",0.547257126243895
"299",0.344146079098797
"300",0.22554347826087
"301",0.250597319060167
"302",0.287043356796112
"303",0.409719868166495
"304",0.097718973453616
"305",0.330512390439361
"306",0.329310403541408
"307",0.294498440082707
"308",0.276083723211315
"309",0.248076923524894
"310",0.146488909949652
"311",0.341937769702905
"312",0.268756123872339
"313",0.290937175293512
"314",0.221108585096727
"315",0.339171078099564
"316",0.293877408157792
"317",0.264851485148515
"318",0.232899751324542
"319",0.260823782577831
"320",0.448839080145159
"321",0.154889833832063
"322",0.363944069701071
"323",0.329268855528892
"324",0.411292898801277
"325",0.167347259469988
"326",0.219349239111851
"327",0.217065423145172
"328",0.368755370799871
"329",0.273502648702622
"330",0.172181297794062
"331",0.34975014275707
"332",0.366501513057394
"333",0.11274788133156
"334",0.302408156855687
"335",0.293219014951371
