"","q7_q103.1_corr","q7_q103.2_corr","q7_q103.3_corr","q7_q103.4_corr","q7_q103.5_corr","q7_q103.6_corr","q7_q103.7_corr"
"1",0.0977575741923368,0.0193317188442321,0.0482798708418623,-0.0621790816950673,-0.0338572952403567,-0.127489995947514,0.0181226293765089
"2",-0.201665966438832,-0.211070628024667,0.133937593654867,-0.0803813765867364,-0.158333265669559,-0.254384066204141,0.135788078181875
"3",0.163113911934214,0.0742620636077245,-0.0194501680139702,-0.227351775421337,0.145060984941086,-0.176008443225746,-0.114736679717558
"4",-0.081035227154349,0.0871627267280818,0.011954096422166,-0.0274463325459923,0.0115032839661298,-0.149314047380224,0.118047958944835
"5",-0.0119516543797359,-0.0729649102199573,-0.0732885932449383,-0.181381916009857,0.144047036666714,-0.280327833967104,-0.006960733665189
"6",-0.0687201019887359,0.093390057209693,-0.250053066914438,-0.192037752846347,0.199832268794185,-0.1165456029051,-0.0529847501005706
"7",0.0458990934398936,-0.0284152835765325,-0.263808616984867,-0.135639352249254,-0.0166890179458821,-0.105042128001645,-0.0556262365623066
"8",-0.00723392524052764,0.0292742493506531,-0.0631308739554333,-0.203626659041417,-0.0491017232741036,-0.174555449684123,0.103941551623238
"9",-0.0928050946034494,0.00863872293674917,-0.340868773089933,-0.107979002028567,0.202847641184926,-0.238998310261165,-0.0341580521646794
"10",-0.0243323767585389,-0.155865499883887,-0.0861370500503027,-0.023162052730604,0.0838924531555159,-0.161682299322129,0.0837153551789217
"11",-0.0956797325015765,-0.249479207670202,0.160473607976557,-0.127623762171024,0.0636040318648674,-0.188857012684827,-0.00786929343326921
"12",-0.192594488471792,0.0114010732472215,0.0608912454395199,-0.188266483662896,-0.157665938125424,-0.231819882700486,0.104871878318517
"13",-0.103440913438404,-0.0010932393248183,-0.058015418091579,-0.0283875627948664,-0.208463297692434,-0.289460354287913,-0.136779177941936
"14",-0.0451251909491879,-0.167908640877933,0.0770247673113939,-0.216421827674903,-0.0226817673874629,-0.0356487906519149,0.0611304064189306
"15",0.0464902831708114,-0.0959029280243532,-0.118839216464548,-0.305004607209653,-0.0955295774816715,-0.262726048439932,0.0373149442354017
"16",0.0320624306462822,0.0946990290658942,-0.258607271006313,-0.0341311319023288,-0.16232113109078,-0.182078239035878,0.021131997972032
"17",-0.187073136338179,-0.373349876342604,-0.0790340761555015,-0.373474919077929,0.0925499912974191,-0.244231877479464,-0.15234241082646
"18",-0.172211560455451,0.0378339872346598,-0.0928559991474053,-0.265754699645133,-0.013220815464128,-0.152621281818599,0.311149387284523
